Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Aaron Nesmith,24.0,IND,Forward,704,38,13.9%,99,134.2,7,5.0%,13,0.36,38,11.3%
Georges Niang,30.4,CLE,Forward,700,51,16.0%,18,101.2,38,7.5%,26,0.47,46,10.9%
Zeke Nnaji,22.8,DEN,Big,238,53,15.9%,9,102.7,34,7.7%,29,0.49,15,17.4%
Jaylen Nowell,24.3,MEM,Point,150,14,17.3%,0,90.6,3,15.1%,16,0.87,89,8.3%
Jusuf Nurkic,29.2,PHX,Big,780,84,21.0%,15,107.3,87,18.2%,82,0.86,36,15.4%
Royce O'Neale,30.4,BKN,Wing,789,33,13.8%,47,113.7,81,15.9%,98,1.16,53,11.5%
Josh Okogie,25.2,PHX,Wing,509,27,13.0%,25,107.1,26,8.1%,40,0.62,52,11.6%
Onyeka Okongwu,22.9,ATL,Big,753,21,12.4%,81,132.0,40,8.0%,50,0.64,75,10.7%
Isaac Okoro,22.8,CLE,Forward,601,24,12.8%,71,119.8,61,10.9%,85,0.86,54,10.4%
Kelly Olynyk,32.5,UTA,Big,648,63,17.0%,87,135.3,96,28.2%,99,1.66,13,18.8%
Cedi Osman,28.6,SAS,Forward,565,50,15.9%,58,116.3,81,14.2%,89,0.89,81,8.4%
Kelly Oubre,27.9,PHI,Wing,507,57,16.9%,65,117.9,2,4.0%,2,0.24,83,8.5%
Chris Paul,38.5,GSW,Combo,765,47,19.4%,25,103.1,98,36.1%,100,1.86,68,10.3%
Cameron Payne,29.2,MIL,Combo,496,33,17.2%,78,119.6,47,19.5%,72,1.14,47,12.2%
Gary Payton II,30.9,GSW,Wing,241,26,12.8%,41,111.0,25,8.0%,41,0.62,43,12.2%
Brandin Podziemski,20.7,GSW,Wing,564,62,17.2%,48,113.8,89,17.9%,93,1.04,21,14.1%
Jakob Poeltl,28.0,TOR,Big,795,35,14.1%,90,138.2,69,12.5%,84,0.88,14,18.1%
Jordan Poole,24.4,WAS,Combo,878,85,27.5%,32,106.6,38,17.8%,10,0.65,30,14.0%
Craig Porter,23.7,CLE,Combo,344,70,23.6%,48,112.6,85,27.8%,73,1.18,55,10.9%
Michael Porter,25.3,DEN,Forward,1062,64,17.7%,64,118.6,25,6.2%,8,0.35,79,8.5%
Otto Porter,30.4,TOR,Forward,157,1,8.1%,10,100.0,15,5.5%,64,0.68,99,3.3%
Bobby Portis,28.7,MIL,Big,778,70,18.9%,38,118.3,20,6.3%,5,0.33,90,8.9%
Kristaps Porzingis,28.2,BOS,Big,674,85,21.5%,84,133.1,39,7.9%,10,0.37,73,10.8%
Dwight Powell,32.3,DAL,Big,415,5,10.1%,98,158.0,64,11.9%,94,1.18,58,12.2%
Norman Powell,30.4,LAC,Wing,762,52,16.7%,91,128.9,5,5.3%,4,0.32,72,9.5%
Taurean Prince,29.6,LAL,Wing,920,17,12.3%,58,116.4,20,7.6%,37,0.62,63,10.3%
Payton Pritchard,25.8,BOS,Point,583,5,15.2%,35,110.6,8,16.6%,51,1.09,95,6.9%
Olivier-Maxence Prosper,21.3,DAL,Forward,123,32,13.5%,0,73.5,69,12.0%,88,0.88,88,7.6%
Neemias Queta,24.3,BOS,Big,154,14,11.7%,28,114.0,5,4.7%,13,0.40,96,7.1%
Immanuel Quickley,24.4,NYK,Combo,708,73,23.8%,73,119.2,27,15.1%,8,0.63,93,7.4%
Julius Randle,28.9,NYK,Forward,1096,96,29.0%,35,112.1,92,21.2%,72,0.73,18,13.1%
Duop Reath,27.3,POR,Big,299,78,19.9%,40,118.3,54,10.0%,30,0.50,89,9.3%
Austin Reaves,25.4,LAL,Combo,919,68,23.4%,88,124.9,70,24.2%,62,1.03,23,14.9%
Cameron Reddish,24.2,LAL,Wing,627,21,12.4%,10,102.4,21,7.8%,44,0.62,67,10.0%
Paul Reed,24.4,PHI,Big,415,43,15.0%,61,124.6,58,10.8%,64,0.72,19,17.0%
Naz Reid,24.2,MIN,Big,651,80,20.3%,65,125.8,26,7.3%,8,0.36,52,13.1%
Nick Richards,25.9,CHA,Big,507,19,12.3%,95,144.1,6,5.0%,14,0.40,31,15.9%
Josh Richardson,30.1,MIA,Combo,660,23,16.1%,57,114.2,30,15.5%,48,0.97,67,10.4%
Duncan Robinson,29.5,MIA,Wing,844,74,18.3%,94,129.8,84,16.0%,75,0.87,64,10.3%
Mitchell Robinson,25.6,NYK,Big,611,2,9.3%,20,110.2,1,3.3%,7,0.36,24,16.5%
Orlando Robinson,23.3,MIA,Big,205,55,16.1%,54,122.2,83,16.0%,90,0.99,17,17.1%
Jeremiah Robinson-Earl,23.0,NOP,Big,115,15,11.8%,62,125.0,32,7.5%,48,0.64,56,12.5%
